business_id,cool,date,funny,review_id,stars,text,useful,user_id
XQfwVwDr-v0ZS3_CbbE5Xw,0,2018-07-07 22:09:11,0,KU_O5udG6zpxOg-VcAEodg,3.0,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. 

The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.",0,mh_-eMZ6K5RLWhZyISBhwA
7ATYjTIgM3jUlt4UM3IypQ,1,2012-01-03 15:28:18,0,BiTunyQ73aT9WBnpR9DZGw,5.0,"I've taken a lot of spin classes over the years, and nothing compares to the classes at Body Cycle. From the nice, clean space and amazing bikes, to the welcoming and motivating instructors, every class is a top notch work out.

For anyone who struggles to fit workouts in, the online scheduling system makes it easy to plan ahead (and there's no need to line up way in advanced like many gyms make you do).

There is no way I can write this review without giving Russell, the owner of Body Cycle, a shout out. Russell's passion for fitness and cycling is so evident, as is his desire for all of his clients to succeed. He is always dropping in to classes to check in/provide encouragement, and is open to ideas and recommendations from anyone. Russell always wears a smile on his face, even when he's kicking your butt in class!",1,OyoGAe7OKpv6SyGZT5g77Q
YjUWPpI6HXG530lwP-fb2A,0,2014-02-05 20:30:30,0,saUsX_uimxRlCVr67Z4Jig,3.0,"Family diner. Had the buffet. Eclectic assortment: a large chicken leg, fried jalapeño, tamale, two rolled grape leaves, fresh melon. All good. Lots of Mexican choices there. Also has a menu with breakfast served all day long. Friendly, attentive staff. Good place for a casual relaxed meal with no expectations. Next to the Clarion Hotel.",0,8g_iMtfSiwikVnbP2etR0A
kxX2SOes4o-D3ZQBkiMRfA,1,2015-01-04 00:01:03,0,AqPFMleE6RsU23_auESxiA,5.0,"Wow!  Yummy, different,  delicious.   Our favorite is the lamb curry and korma.  With 10 different kinds of naan!!!  Don't let the outside deter you (because we almost changed our minds)...go in and try something new!   You'll be glad you did!",1,_7bHUi9Uuf5__HHc_Q8guQ
e4Vwtrqf-wpJfwesgvdgxQ,1,2017-01-14 20:54:15,0,Sx8TMOWLNuJBWer-0pcmoA,4.0,"Cute interior and owner (?) gave us tour of upcoming patio/rooftop area which will be great on beautiful days like today. Cheese curds were very good and very filling. Really like that sandwiches come w salad, esp after eating too many curds! Had the onion, gruyere, tomato sandwich. Wasn't too much cheese which I liked. Needed something else...pepper jelly maybe. Would like to see more menu options added such as salads w fun cheeses. Lots of beer and wine as well as limited cocktails. Next time I will try one of the draft wines.",1,bcjbaE6dDog4jkNY91ncLQ
04UD14gamNjLY0IDYVhHJg,1,2015-09-23 23:10:31,2,JrIxlS1TzJ-iCu79ul40cQ,1.0,I am a long term frequent customer of this establishment. I just went in to order take out (3 apps) and was told they're too busy to do it. Really? The place is maybe half full at best. Does your dick reach your ass? Yes? Go fuck yourself! I'm a frequent customer AND great tipper. Glad that Kanella just opened. NEVER going back to dmitris!,1,eUta8W_HdHMXPzLBBZhL1A
gmjsEdUsKpj9Xxu6pdjH0g,0,2015-01-03 23:21:18,2,6AxgBCNX_PNTOxmbRSwcKQ,5.0,"Loved this tour! I grabbed a groupon and the price was great. It was the perfect way to explore New Orleans for someone who'd never been there before and didn't know a lot about the history of the city. Our tour guide had tons of interesting tidbits about the city, and I really enjoyed the experience. Highly recommended tour. I actually thought we were just going to tour through the cemetery, but she took us around the French Quarter for the first hour, and the cemetery for the second half of the tour. You'll meet up in front of a grocery store (seems strange at first, but it's not terribly hard to find, and it'll give you a chance to get some water), and you'll stop at a visitor center part way through the tour for a bathroom break if needed. This tour was one of my favorite parts of my trip!",0,r3zeYsv1XFBRA4dJpL78cw
LHSTtnW3YHCeUkRDGyJOyw,0,2015-08-07 02:29:16,0,_ZeMknuYdlQcUqng_Im3yg,5.0,"Amazingly amazing wings and homemade bleu cheese. Had the ribeye: tender, perfectly prepared, delicious. Nice selection of craft beers. Would DEFINITELY recommend checking out this hidden gem.",2,yfFzsLmaWF2d4Sr0UNbBgg
B5XSoSG3SfvQGtKEGQ1tSQ,0,2016-03-30 22:46:33,1,ZKvDG2sBvHVdF5oBNUOpAQ,3.0,This easter instead of going to Lopez Lake we went to Los Padres National Forest which is really pretty but if you go to white rock the staff needs to cut down all the dead grass that invades the rock and the water. I would wish the staff would also clean or get rid of the dead grass that's also living by the water. The water is really green and dirty. Los padres national forest staff need to work hard to maintain this forest looking pretty and not like a dumpster. Even Cachuma lake looks like they put a bit more effort.,1,wSTuiTk-sKNdcFyprzZAjg
gebiRewfieSdtt17PTW6Zg,0,2016-07-25 07:31:06,0,pUycOfUwM8vqX7KjRRhUEA,3.0,"Had a party of 6 here for hibachi. Our waitress brought our separate sushi orders on one plate so we couldn't really tell who's was who's and forgot several items on an order. I understand making mistakes but the restaraunt was really quiet so we were kind of surprised. Usually hibachi is a fun lively experience and our  cook  said maybe three words, but he cooked very well his name was Francisco. Service was fishy, food was pretty good, and im hoping it was just an off night here. But for the money I wouldn't go back.",0,59MxRhNVhU9MYndMkz0wtw
uMvVYRgGNXf5boolA9HXTw,0,2015-06-21 14:48:06,0,rGQRf8UafX7OTlMNN19I8A,5.0,"My experience with Shalimar was nothing but wonderful. 
I wanted to get my engagement ring sized and was told over the phone that it could probably be done within the day. 
When I brought it by, the team confirmed that the jeweler would be able to accommodate my same-day request and that it would be around $40 (simple band, decrease by three full sizes).
I checked my size one more time, confirmed, and left to let them do their thing.
When I came to pick up later that afternoon, the ring was too small. It's very important to note that Shalimar sized the ring perfectly, but that I made a mistake and should've gone up a half-size.
The Shalimar group were completely understanding and accommodating, even resizing my ring back up and getting it back to me within an hour at no charge! Even though it was my mistake!
The associates' attitudes in dealing with what was a pretty embarrassing situation instantly earned my satisfaction and loyalty as a customer. Very grateful for such a wonderful experience.",2,1WHRWwQmZOZDAhp2Qyny4g
EQ-TZ2eeD_E0BHuvoaeG5Q,0,2015-08-19 14:31:45,0,l3Wk_mvAog6XANIuGQ9C7Q,4.0,"Locals recommended Milktooth, and it's an amazing jewel of Indianapolis. I'm glade I had the chance to experience this.",0,ZbqSHbgCjzVAqaa7NKWn5A
lj-E32x9_FA7GmUrBGBEWg,0,2014-06-27 22:44:01,0,XW_LfMv0fV21l9c6xQd_lw,4.0,Love going here for happy hour or dinner!  Great patio with fans to beat the StL heat!   Also...very accomodating at this location.  I like the Veal Milanese but with mixed greens instead of pasta!  they'll modify the menu to suit your taste!,0,9OAtfnWag-ajVxRbUTGIyg
RZtGWDLCAtuipwaZ-UfjmQ,0,2009-10-14 19:57:14,0,8JFGBuHMoiNDyfcxuWNtrA,4.0,"Good food--loved the gnocchi with marinara
the baked eggplant appetizer was very good too

The service was very slow, but despite this, I'd go back, the food is just that good",0,smOvOajNG0lS4Pq7d8g4JQ
otQS34_MymijPTdNBoBdCw,0,2011-10-27 17:12:05,2,UBp0zWyH60Hmw6Fsasei7w,4.0,"The bun makes the Sonoran Dog. It's like a snuggie for the pup. A first, it seems ridiculous and almost like it's going to be too much, exactly like everyone's favorite blanket with sleeves. Too much softness, too much smush, too indulgent.  Wrong. It's warm, soft, chewy, fragrant, and it succeeds where other famed Sonoran Dogs fail. 

The hot dog itself is flavorful, but I would prefer that it or the bacon have a little more bite or snap to better hold their own against the dominant mustard and onions. 

I'm with the masses on the carne asada caramelo. Excellent tortilla, salty, melty cheese, and great carne. 

Super cheap and you can drive through.",0,4Uh27DgGzsp6PqrH913giQ
BVndHaLihEYbr76Z0CMEGw,0,2014-10-11 16:22:06,0,OAhBYw8IQ6wlfw1owXWRWw,5.0,"Great place for breakfast! I had the waffle, which was fluffy and perfect, and home fries which were nice and smashed and crunchy. Friendly waitstaff. Will definitely be back!",0,1C2lxzUo1Hyye4RFIXly3g
YtSqYv1Q_pOltsVPSx54SA,0,2013-06-24 11:21:25,0,oyaMhzBSwfGgemSGuZCdwQ,5.0,"Tremendous service (Big shout out to Douglas) that complemented the delicious food. Pretty expensive establishment (40-50$ avg for your main course), but its definitely backs that up with an atmosphere that's comparable with any of the top tier restaurants across the country.",0,Dd1jQj7S-BFGqRbApFzCFw
rBdG_23USc7DletfZ11xGA,0,2014-08-10 19:41:43,0,LnGZB0fjfgeVDVz5IHuEVA,4.0,"The hubby and I have been here on multiple occasions and we have loved every part of the meal, every single time. Everyone from the servers to the bartender is very knowledgable about the menu and was able to immediately recommend items I could eat as-is, substitute or delete to make something safe for this Celiac girl to eat. The wine and cocktail menus are spot on. The food divine.  My only wish is that they would have a gluten-free dessert, we've always had to go elsewhere for something sweet. But that is not a big deal and I still want to go here time and time again.",1,j2wlzrntrbKwyOcOiB3l3w
CLEWowfkj-wKYJlQDqT1aw,1,2016-03-07 00:02:18,0,u2vzZaOqJ2feRshaaF1doQ,5.0,"I go to blow bar to get my brows done by natalie (brow specialist) which i highly recommend she is great does a great job on my eyebrows! But then i got a blow by victoria!! Wow i was impress i have thin, straight, dead hair and she left me with the biggest volume ive ever had!!! Tried another girl but didnt like it as much so victoria will be my girl for ever; very beautiful clean place!!!",2,NDZvyYHTUWWu-kqgQzzDGQ
eFvzHawVJofxSnD7TgbZtg,0,2014-11-12 15:30:27,0,Xs8Z8lmKkosqW5mw_sVAoA,5.0,"My absolute favorite cafe in the city. Their black and white latte is probably the best I've ever had (not too sweet and just the right amount of foam), soups are always really good (even for non-soup people) and there's just a lot of space to do work. The noise level is perfect, the music is at a perfect level, and I always enjoy when patrons bring their dogs. I'll keep giving them my business for as long as I can.",0,IQsF3Rc6IgCzjVV9DE8KXg
nRKndeZLQ3eDL10UMwS2rQ,2,2009-10-13 19:49:51,5,vBK79c3_1Ff_oqkh5VpfGg,5.0,"HOLY SMOKES!

actual pumpkin pie mixed in with the frozen custard......are you kidding me? Why hasn't this become a huge sweep the nation treat. 

The best part was the chunks of pie crust. Like finding a diamond inside another diamond. Super yummy.",2,Ohhrhu1RkqfVciIVx_W5HQ
ut6fi2W2YaipNOqvi7e0jw,0,2014-11-12 14:12:20,0,ZVvhc3Go7v5I8XTiVoWmqQ,3.0,"Upland is a brewery based out of Bloomington, Indiana that has become popular enough to open up a couple additional locations in central Indiana.  All of their beers are very good, and I am also a fan of their burgers and tenderloins.  Therefore, I was excited to try their pizza, but I don't think it ended up being on par with these other items.  My margherita pizza had a cracker-like crust and was pretty light overall.  The cheese was good, but none of the other toppings added much flavor.  There was no red sauce as is typical for a true margherita pizza.  My opinion is that Upland's pizza might serve as a nice appetizer for a group, but I'll be sticking with their burgers or tenderloins as my meal of choice on future visits.",0,WBpQDAZymU0dhIqXcACGNw
rjuWz_AD3WfXJc03AhIO_w,2,2012-12-04 16:46:20,2,J-4NdnDZ0pUQaUEEwDI9KQ,5.0,I thoroughly enjoyed the show.  Chill way to spend a Friday night.,2,vrKkXsozqqecF3CW4cGaVQ
vC2qm1y3Au5czBtbhc-DNw,0,2013-09-04 03:48:20,0,eCiWBf1CJ0Zdv1uVarEhhw,4.0,"Yes, this is the only sushi place in town. However, it is great when you're craving sushi and don't have time to go somewhere else. The salmon is probably the best fish they have, so we always order salmon. We also love their spicy edamame, tempura, ocean salad, and cabbage salad. Service has always been friendly and quick!",0,OhECKhQEexFypOMY6kypRw
cPepkJeRMtHapc_b2Oe_dw,1,2018-07-17 03:30:07,0,lUUhg8ltDsUZ9h0xnwY4Dg,4.0,"I was really between 3 and 4 stars for this one. I LOVE the 96th street Naked Tchopstix so I was very excited to see this one which is closer to my house.
The vibe is totally different as this is geared more to take out although they do have a decent size dining area. You order at the counter and they deliver it.
My daughter and I tried the sushi bowl. You pick up a piece of paper and  select from a choice of proteins, vegetables, rice and toppings. I like the fact that it is on paper and you don't have to guess what things are or have to shout over the counter to tell the server what you want. The sushi bowl was good but not wonderful. The choices particularly of the vegetables seemed a little too limiting and I felt I had more rice than other food items. The sauces were tasty. My husband ordered the Maui roll which is my favorite roll at the 96th street location and this just was not up that standard. It was good but the quality and consistently was not as good as at 96th street. I would go back though and I think a lot of people would be happy with the sushi bowls. I do want to make a comment about the low reviews that people have given the place because of service. People - it is a sushi place - it isn't McDonalds- so it will be a bit slower. You are not going to order and get out of there in five minutes even though it is called express. As a healthy alternative to fast food in the area, it is worth the wait. Oh and try the bubble tea. I had the strawberry and it was quite yummy. Next time I am going to try the vanilla chai.",1,RreNy--tOmXMl1en0wiBOg
c-IgS6Pk6vMyax7Rbr38eA,0,2015-06-08 19:45:48,0,qS6kE7CDoDagyPZwmueJaQ,4.0,Went for lunch. Beef brisket sandwich was awesome.   So juicy and tender.    Pulled pork was was just as good!,0,zoBajEyVA0z4IjbFsMJksg
x4XdNhp0Xn8lOivzc77J-g,0,2013-08-15 15:27:51,0,G_5UczbCBJriUAbxz3J7Tw,5.0,Best thai food in the area.  Everything was authentic and delicious.  Will definitely be back again and again.,0,clWLI5OZP2ad25ugMVI8gg
S2Ho8yLxhKAa26pBAm6rxA,0,2016-11-22 00:22:53,0,z0osLHDvXvzfm57D4DmD2Q,3.0,"Service was crappy, and food was mediocre.  I wish I would have picked some other place for my last dinner in town.",0,xVKE_HJ2pwUtTdLbL3pnCg
MWmXGQ98KbRo3vsS5nZhMA,0,2014-10-27 02:47:28,0,DyrAIuKl60j_X8Yrrv-kpg,5.0,"I recently had dinner here with my wife over the weekend and could not have been more pleased! 

Our meal was excellent! My wife and I were astounded by how quickly our food came out! Everything tasted fresh and homemade which we both appreciated. 

The only problem was trying to pick something from the menu as there were too many delicious sounding items to choose from. We will definitely be returning to try more items! Can't wait to see what the next chef specials will be!",1,mNsVyC9tQVYtzLOCbh2Piw
ltBBYdNzkeKdCNPDAsxwAA,0,2015-02-02 04:29:13,0,elqRpX9T3YwL07uLNtN3Bg,2.0,"I at least have to give this restaurant two stars due to the decent food. But while on a dinner meeting and after spending $100 on entrées and appetizers, I had to flag down the assistant cook, (the guy in bright red baggy pants watching TV), to see if I could get more avocado for my tuna entrée.  He made it very apparent and direct that he could not help me with that situation and I would have to flag down my  waitress so she could bill me for the four dollar avocado.",0,-sryo4gDYxbZ1T5Bz4l5Bw
bMratNjTG5ZFEA6hVyr-xQ,0,2017-02-19 13:32:05,0,-P5E9BYUaK7s3PwBF5oAyg,5.0,First time there and it was excellent!!! It feels like your are entering someone's home. The waiters there funny and nice. The food come out very quickly and it is phenomenal!!! Definitely will be going back to this place.,0,Jha0USGDMefGFRLik_xFQg
bbEXAEFr4RYHLlZ-HFssTA,0,2017-01-02 03:17:34,0,YbMyvlDA2W3Py5lTz8VK-A,5.0,"Great burgers,fries and salad!  Burgers have a hint of salt and pepper flavor.

This location is very quaint. They only have outdoor seating

Friendly staff.

Street parking as well as parking lot in the back.",0,4hBhtCSgoxkrFgHa4YAD-w
0pMj5xUAecW9o1P35B0AMw,1,2017-05-26 13:10:24,0,40thYphUgIfvJq17QCfTwA,5.0,Great staff always helps and always nice. Always clean and huge store size. Stays stocked with everything you need. The staff always helps make my custom breakfast bagel,1,QzCEzH3R7Z6erOGLr3t55Q
X8lfGPagfLzfOsx0k08NRQ,0,2017-05-13 14:15:29,0,xdQe2E8jR6pLA07p1aYtKA,5.0,"Took my vehicle here for some work a few years ago for a manufacturer recall. Problem went away and then started hearing another noise which I thought was related, but turned out was a completely different issue. Kevin and his mechanic lifted my car right up and fixed the issue FREE OF CHARGE even though I told them I'd pay. Outstanding individuals for doing that. Highly recommend!",0,yFuE8SPF-d1GXJUWYgKtzg
8QnuWGVNBhzyYXGSeRdi4g,0,2013-10-24 19:24:33,0,p198qZsKOMCUhgdtRWsOKQ,4.0,"After my ROTD  yesterday of a different Sweet CeCe's location, I realized that I had never reviewed my local source!  Anyway, I love the product.  Love love love.  And I usually like their selection of toppings - good mix between healthy and not-so-healthy.  Sometimes the girls working there aren't really paying attention or are nowhere to be found.  Sometimes you have to remind them of their deals (like $5 Friday).  But I can't give it less than 4 stars because I just love it so much.",0,3MpDvy5gEdsbZh9-p92dHg
IDtLPgUrqorrpqSLdfMhZQ,0,2016-10-13 22:50:47,0,L0jv8c2FbpWSlfNC6bbUEA,5.0,"What a great addition to the Funk Zone!  Grab a bite, grab some tastings, life is good. Right next door to the Santa Barbara Wine Collective, in fact it actually shares the same tables.  We had a fabulous savory croissant.",0,bFPdtzu11Oi0f92EAcjqmg
LfYUOclwLs_SPrNAdKMjsw,0,2013-11-14 04:02:52,0,rj0asGlfKjlXH6iEgu-jdw,5.0,Nice relaxing place to get a massage! Same day appointments are easy to come by! I have never been disappointed with any therapist I have had at the Center!,4,wA7V8Ijgbv-16rmnwW-hjA
PY9GRfzr4nTZeINf346QOw,0,2017-09-20 16:16:47,0,pHwbdway4yeI-dSSmZA7-Q,4.0,"We checked in around 2:30 pm.  Check-in was quick and easy with complimentary valet parking (always appreciated).  The Peppermill is huge and reminded us of the Caesars Palace in Las Vegas.  They have around eight restaurants on site offering almost any type of food you could want.  The casino area is huge, rivaling almost anything you could find in Las Vegas.  One thing we noticed is that many of the slot machines were noted as being penny machines, but when you actually started to play them you realized they had minimum bets of anywhere from 30 cents to $5.  Talk about false advertising!  We were in the Tuscany Tower on the 12th floor.  Our room had a nice view of the huge pool area.  Our room was large and featured free WiFi (likewise always appreciated), a huge bathroom area with large shower (with two shower heads), TV, a large jetted bathtub and a phone next to the commode.  There were dual sinks and lots of counter space.  Plenty of towels were supplied.  The roomy main area had a king bed with night stands, closet, TV, mini fridge, dresser with two drawers, a safe, table for computer or writing, complimentary bottles of water, and three nicely upholstered chairs and table.  The thermostat did a good job controlling the temperature and keeping it comfortable.  Staff were all courteous and helpful.  A very nice place and we enjoyed our stay.",0,qEEk0PuoH1dVa619t8fgpw
